properties.name,properties.article,properties.headline
China,<p>Wong Kar-wai<b> (In the Mood for Love)</b><br>49 votes</br>Douban score is: 8.5. IMDb score is: 8.1</p><p> Edward Yang<b> (Yi Yi: A One and a Two)</b><br>22 votes</br>Douban score is: 8.9. IMDb score is: 8.1</p><p> Hou Hsiao-hsien<b> (The Assassin)</b><br>5 votes</br>Douban score is: 7.2. IMDb score is: 6.3</p><p> Jia Zhangke<b> (A Touch of Sin)</b><br>4 votes</br>Douban score is: 7.9. IMDb score is: 7.1</p><p> Jia Zhangke<b> (Still Life)</b><br>3 votes</br>Douban score is: 8.0. IMDb score is: 5.6</p><p> Jia Zhangke<b> (The World)</b><br>3 votes</br>Douban score is: 7.3. IMDb score is: 7.1</p><p> Hou Hsiao-hsien<b> (Millennium Mambo)</b><br>2 votes</br>Douban score is: 7.1. IMDb score is: 7.0</p><p> Zhang Yimou<b> (Hero)</b><br>2 votes</br>Douban score is: 7.0. IMDb score is: 7.9</p><p> Jia Zhangke<b> (Platform)</b><br>2 votes</br>Douban score is: 8.2. IMDb score is: 7.4</p><p> Hou Hsiao-hsien<b> (Café Lumière)</b><br>2 votes</br>Douban score is: 7.5. IMDb score is: 7.0</p><p> Wong Kar-wai<b> (2046)</b><br>2 votes</br>Douban score is: 7.5. IMDb score is: 7.5</p><p> Wang Bing<b> (Tie Xi Qu: West of the Tracks)</b><br>2 votes</br>Douban score is: 8.3. IMDb score is: 8.6</p><p> Johnnie To<b> (Sparrow)</b><br>1 vote</br>Douban score is: 6.3. IMDb score is: 6.7</p><p> Zhang Yimou<b> (Coming Home)</b><br>1 vote</br>Douban score is: 7.7. IMDb score is: 7.3</p><p> Hou Hsiao-hsien<b> (Three Times)</b><br>1 vote</br>Douban score is: 7.5. IMDb score is: 7.0</p><p> Nanfu Wang<b> (Hooligan Sparrow)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 7.2</p><p> Zhang Yimou<b> (House of Flying Daggers)</b><br>1 vote</br>Douban score is: 5.8. IMDb score is: 7.6</p><p> Jiang Wen<b> (The Sun Also Rises)</b><br>1 vote</br>Douban score is: 8.0. IMDb score is: 6.3</p><p> Stephen Chow<b> (Kung Fu Hustle)</b><br>1 vote</br>Douban score is: 8.1. IMDb score is: 7.8</p>,10 directors selected.19 movies selected
India,"<p>Mira Nair<b> (Monsoon Wedding)</b><br>2 votes</br>Douban score is: 7.5. IMDb score is: 7.4</p><p> Vishal Bhardwaj<b> (Maqbool)</b><br>2 votes</br>Douban score is: nan. IMDb score is: 8.2</p><p> Chaitanya Tamhane<b> (Court)</b><br>1 vote</br>Douban score is: 7.0. IMDb score is: 7.7</p><p> Raam Reddy<b> (Thithi)</b><br>1 vote</br>Douban score is: 7.6. IMDb score is: 8.4</p><p> Anurag Kashyap<b> (Dev D)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 8.1</p><p> Anurag Kashyap<b> (Gangs of Wasseypur)</b><br>1 vote</br>Douban score is: 6.7. IMDb score is: 8.2</p><p> Sudhir Mishra<b> (Hazaaron Khwaishein Aisi)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 8.0</p><p> Rajat Kapoor<b> (Ankhon Dekhi)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 8.0</p><p> Vikramaditya Motwane<b> (Udaan)</b><br>1 vote</br>Douban score is: 7.0. IMDb score is: 8.2</p><p> Tigmanshu Dhulia<b> (Paan Singh Tomar)</b><br>1 vote</br>Douban score is: 6.8. IMDb score is: 8.2</p><p> Mira Nair<b> (The Namesake)</b><br>1 vote</br>Douban score is: 8.0. IMDb score is: 7.5</p><p> Dibakar Banerjee<b> (LSD: Love, Sex Aur Dhokha)</b><br>1 vote</br>Douban score is: 7.1. IMDb score is: 7.1</p>",10 directors selected.12 movies selected
Iran,<p>Asghar Farhadi<b> (A Separation)</b><br>28 votes</br>Douban score is: 8.7. IMDb score is: 8.3</p><p> Abbas Kiarostami<b> (Certified Copy)</b><br>9 votes</br>Douban score is: nan. IMDb score is: 7.3</p><p> Abbas Kiarostami<b> (Ten)</b><br>4 votes</br>Douban score is: 7.6. IMDb score is: 5.7</p><p> Asghar Farhadi<b> (About Elly)</b><br>3 votes</br>Douban score is: 8.1. IMDb score is: 8.1</p><p> Abbas Kiarostami<b> (Like Someone In Love)</b><br>2 votes</br>Douban score is: 7.5. IMDb score is: 7.0</p><p> Jafar Panahi<b> (The Circle)</b><br>2 votes</br>Douban score is: 7.6. IMDb score is: 5.3</p><p> Jafar Panahi<b> (Crimson Gold)</b><br>1 vote</br>Douban score is: 7.2. IMDb score is: 7.5</p><p> Jafar Panahi<b> (Closed Curtain)</b><br>1 vote</br>Douban score is: 6.8. IMDb score is: 6.6</p><p> Mohammad Rasoulof<b> (The White Meadows)</b><br>1 vote</br>Douban score is: 8.5. IMDb score is: 7.7</p><p> Bahman Ghobadi<b> (A Time for Drunken Horses)</b><br>1 vote</br>Douban score is: 8.2. IMDb score is: 7.7</p><p> Jafar Panahi<b> (Taxi Tehran)</b><br>1 vote</br>Douban score is: 8.0. IMDb score is: 7.3</p><p> Mani Haghighi<b> (Men at Work)</b><br>1 vote</br>Douban score is: 7.5. IMDb score is: 7.1</p>,6 directors selected.12 movies selected
Israel,<p>Ari Folman<b> (Waltz with Bashir)</b><br>4 votes</br>Douban score is: 8.7. IMDb score is: 8.0</p><p> Hany Abu-Assad<b> (Paradise Now)</b><br>2 votes</br>Douban score is: 7.7. IMDb score is: 7.5</p><p> Ari Folman<b> (The Congress)</b><br>2 votes</br>Douban score is: 7.7. IMDb score is: 6.5</p><p> Elia Suleiman<b> (Divine Intervention)</b><br>1 vote</br>Douban score is: 7.3. IMDb score is: 6.6</p><p> Ronit Elkabetz and Shlomi Elkabetz<b> (Gett: The Trial of Viviane Amselem)</b><br>1 vote</br>Douban score is: 8.3. IMDb score is: 7.7</p><p> Scandar Copti and Yaron Shani<b> (Ajami)</b><br>1 vote</br>Douban score is: 7.0. IMDb score is: 7.4</p><p> Eran Riklis<b> (A Borrowed Identity)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 7.2</p><p> Dror Moreh<b> (The Gatekeepers)</b><br>1 vote</br>Douban score is: 7.6. IMDb score is: 7.6</p><p> Bazi Gete<b> (Red Leaves)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 6.6</p><p> Eran Kolirin<b> (The Band¨¹s Visit)</b><br>1 vote</br>Douban score is: 8.1. IMDb score is: 7.6</p><p> Avi Nesher<b> (The Matchmaker)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 6.5</p><p> Elia Suleiman<b> (The Time That Remains)</b><br>1 vote</br>Douban score is: 7.5. IMDb score is: 7.1</p>,10 directors selected.12 movies selected
Japan,<p>Hayao Miyazaki<b> (Spirited Away)</b><br>34 votes</br>Douban score is: 9.3. IMDb score is: 8.6</p><p> Hirokazu Koreeda<b> (Still Walking)</b><br>3 votes</br>Douban score is: 8.8. IMDb score is: 8.0</p><p> Kiyoshi Kurosawa<b> (Pulse)</b><br>3 votes</br>Douban score is: 6.8. IMDb score is: 4.7</p><p> Hayao Miyazaki<b> (The Wind Rises)</b><br>1 vote</br>Douban score is: 7.8. IMDb score is: 7.8</p><p> Kinji Fukasaku<b> (Battle Royale)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 7.7</p><p> Takahisa Zeze<b> (Heaven's Story)</b><br>1 vote</br>Douban score is: 6.9. IMDb score is: 7.3</p><p> Naomi Kawase<b> (Shara)</b><br>1 vote</br>Douban score is: 7.7. IMDb score is: 7.7</p><p> Kiyoshi Kurosawa<b> (Seventh Code)</b><br>1 vote</br>Douban score is: 6.5. IMDb score is: 5.7</p><p> Takeshi Kitano<b> (The Blind Swordsman: Zatoichi)</b><br>1 vote</br>Douban score is: 7.4. IMDb score is: 7.6</p><p> Hirokazu Koreeda<b> (Nobody Knows)</b><br>1 vote</br>Douban score is: 9.0. IMDb score is: 8.1</p><p> Satoshi Kon<b> (Millennium Actress)</b><br>1 vote</br>Douban score is: 8.6. IMDb score is: 7.9</p><p> Sion Sono<b> (Love Exposure)</b><br>1 vote</br>Douban score is: 8.2. IMDb score is: 8.1</p>,9 directors selected.12 movies selected
Lebanon,<p>Jihan El-Tahri<b> (Cuba: An African Odyssey)</b><br>1 vote</br>Douban score is: nan. IMDb score is: 8.3</p><p> Nadine Labaki<b> (Caramel)</b><br>1 vote</br>Douban score is: 7.8. IMDb score is: 7.1</p><p> Nadine Labaki<b> (Where Do We Go Now?)</b><br>1 vote</br>Douban score is: 7.8. IMDb score is: 7.5</p><p> Mohamed Soueid<b> (My Heart Beats Only for Her)</b><br>1 vote</br>Douban score is: nan. IMDb score is: nan</p>,3 directors selected.4 movies selected
Malaysia,"<p>Tsai Ming-liang<b> (Goodbye, Dragon Inn)</b><br>1 vote</br>Douban score is: 7.3. IMDb score is: 7.1</p><p> Tsai Ming-liang<b> (What Time Is It There?)</b><br>1 vote</br>Douban score is: 7.8. IMDb score is: 7.3</p><p> Tsai Ming-liang<b> (Stray Dogs)</b><br>1 vote</br>Douban score is: 7.2. IMDb score is: 6.8</p><p> Tsai Ming-liang<b> (Journey to the West)</b><br>1 vote</br>Douban score is: 6.8. IMDb score is: 6.8</p><p> Tsai Ming-liang<b> (I Don't Want to Sleep Alone)</b><br>1 vote</br>Douban score is: 7.3. IMDb score is: 7.0</p>",1 director selected.5 movies selected
South Korea,"<p>Park Chan-wook<b> (Oldboy)</b><br>11 votes</br>Douban score is: 8.2. IMDb score is: 8.4</p><p> Bong Joon-ho<b> (Mother)</b><br>3 votes</br>Douban score is: 8.3. IMDb score is: 6.7</p><p> Lee Chang-dong<b> (Secret Sunshine)</b><br>3 votes</br>Douban score is: 7.8. IMDb score is: 7.5</p><p> Kim Ki-duk<b> (Spring, Summer, Fall, Winter¨¹and Spring)</b><br>3 votes</br>Douban score is: 8.5. IMDb score is: 8.1</p><p> Bong Joon-ho<b> (Memories of Murder)</b><br>3 votes</br>Douban score is: 8.7. IMDb score is: 8.1</p><p> Kim Jee-woon<b> (A Tale of Two Sisters)</b><br>1 vote</br>Douban score is: 7.1. IMDb score is: 7.2</p><p> Kim Ki-duk<b> (3-Iron)</b><br>1 vote</br>Douban score is: 8.0. IMDb score is: 8.1</p><p> Hong Sang-soo<b> (Right Now, Wrong Then)</b><br>1 vote</br>Douban score is: 7.5. IMDb score is: 7.2</p><p> Park Chan-wook<b> (Sympathy for Mr Vengeance)</b><br>1 vote</br>Douban score is: 7.9. IMDb score is: 7.7</p><p> Lee Chang-dong<b> (Poetry)</b><br>1 vote</br>Douban score is: 8.4. IMDb score is: 7.8</p><p> Lee Chang-dong<b> (Oasis)</b><br>1 vote</br>Douban score is: 8.5. IMDb score is: 8.2</p><p> Hong Sang-soo<b> (Woman on the Beach)</b><br>1 vote</br>Douban score is: 7.4. IMDb score is: 7.0</p><p> Bong Joon-ho<b> (The Host)</b><br>1 vote</br>Douban score is: 7.3. IMDb score is: 5.9</p>",6 directors selected.13 movies selected
Taiwan,"<p>Ang Lee<b> (Brokeback Mountain)</b><br>11 votes</br>Douban score is: 8.7. IMDb score is: 7.7</p><p> Ang Lee<b> (Crouching Tiger, Hidden Dragon)</b><br>8 votes</br>Douban score is: 8.0. IMDb score is: 7.9</p><p> Ang Lee<b> (Lust, Caution)</b><br>1 vote</br>Douban score is: 8.2. IMDb score is: 7.6</p><p> Ang Lee<b> (Life of Pi)</b><br>1 vote</br>Douban score is: 9.0. IMDb score is: 7.9</p>",1 director selected.4 movies selected
Thailand,<p>Apichatpong Weerasethakul<b> (Uncle Boonmee Who Can Recall His Past Lives)</b><br>9 votes</br>Douban score is: 6.8. IMDb score is: 6.6</p><p> Apichatpong Weerasethakul<b> (Tropical Malady)</b><br>6 votes</br>Douban score is: 7.8. IMDb score is: 7.3</p><p> Apichatpong Weerasethakul<b> (Syndromes and a Century)</b><br>5 votes</br>Douban score is: 7.7. IMDb score is: 7.5</p><p> Apichatpong Weerasethakul<b> (Blissfully Yours)</b><br>1 vote</br>Douban score is: 7.6. IMDb score is: 7.0</p>,1 director selected.4 movies selected
